#x	y	z	vx	vy	vz	m
11.8531	8.41925	1.53034	18.859	64.4572	-55.1794	6.66006e+06
-6.24141e+06	-2.0438e+06	1.9545e+07	0.0845376	-0.0425756	0.0354022	6.66006e+06
0.903225	-3.74913	0.956381	-47.4884	-33.8157	-47.1557	6.66006e+06
-43.6656	-8.26792	31.9963	-24.1104	39.3157	21.1024	6.66006e+06
-41.1611	29.1071	3.08405	-12.1833	-15.7936	-37.7647	6.66006e+06
23.8605	9.89565	26.4735	56.7771	3.95274	20.1478	6.66006e+06
-152476	-6181.18	-121028	0.235699	0.398041	0.320414	6.66006e+06
-4.33471	-3.27533	-2.42268	-26.6575	-73.5022	56.5942	6.66006e+06
-1.91617	-1.35631	-1.53769	0.693489	7.38866	-34.5852	6.66006e+06
-185325	-494137	-47673.3	-0.477327	-0.221922	-0.592368	6.66006e+06
-125.12	25.5352	-19.0037	30.0901	-7.93762	-21.4027	6.66006e+06
1.1629	7.02086	2.43705	0.0648782	-17.5674	-27.9006	6.66006e+06
-78.4816	46.9145	8.66139	27.4181	-18.2864	-19.0613	6.66006e+06
-23.202	9.99632	7.16352	46.8905	-15.8048	-42.7604	6.66006e+06
-830.653	-9.47203	-227.02	4.67452	-5.71665	6.1058	6.66006e+06
-156.734	-57.2679	-134	-21.5871	-7.29806	9.04163	6.66006e+06
-18.8491	6.03068	21.0523	6.28604	21.6268	-6.84335	6.66006e+06
9.35229	0.152912	-8.48724	-20.4609	11.1239	13.7785	6.66006e+06
4.02913	-2.4083	-2.13056	-42.4247	-62.9145	64.5145	6.66006e+06
-1.14893e+07	1.30402e+06	4.43967e+06	0.0487994	-0.0301957	-0.124176	6.66006e+06
-0.875657	4.07632	2.07008	16.1177	-13.0391	-5.7085	6.66006e+06
-10.7185	-5.68187	2.17415	-39.6315	-5.15119	-8.01158	6.66006e+06
27.5959	14.392	35.1431	-10.6138	-11.8678	46.2305	6.66006e+06
33.4651	-9.4229	-6.44337	31.5085	7.733	3.44796	6.66006e+06
-29.6367	-102.199	686.169	-6.34672	-6.16814	-4.08134	6.66006e+06
-161.4	-426.169	-381.502	-3.02523	0.672913	0.874539	6.66006e+06
0.753926	43.0029	1.78112	-7.06026	-19.1058	7.02335	6.66006e+06
-83.5189	-44.4801	-24.4537	18.7161	-5.93249	31.8319	6.66006e+06
-2.02102	-3.14022	1.21237	66.6593	29.4978	66.6932	6.66006e+06
-5.00759	2.12983	1.54291	42.6205	36.2992	-34.7121	6.66006e+06
2.09794	2.41639	-1.06227	67.8798	3.49658	-48.0755	6.66006e+06
-60.8097	-1727.65	1122.16	-1.37252	1.01934	1.88099	6.66006e+06
-4.66758	1.45456	-1.75887	-14.4763	57.4472	-15.5763	6.66006e+06
0.788039	-0.165487	-0.900035	20.8427	-9.30867	32.6648	6.66006e+06
0.937529	-14.5966	-0.0335319	-53.3687	18.3846	-21.7455	6.66006e+06
-13.828	-6.09337	-2.73641	-28.7232	-19.219	-22.7078	6.66006e+06
-450.213	-1881.41	-1954.75	-6.12783	-1.28351	-1.88646	6.66006e+06
-7.25425	-1.07829	40.9802	1.39483	5.98339	-17.0363	6.66006e+06
56.5324	-13.0254	-40.1181	32.2897	7.99103	24.7974	6.66006e+06
-11.8972	2.10084	46.8901	45.1299	24.3359	0.000235544	6.66006e+06
87.68	383.186	185.517	1.4489	21.9149	6.07453	6.66006e+06
9.76761e+06	2.33718e+06	4.96649e+06	0.0541635	0.158935	-0.0226273	6.66006e+06
1505.35	1329.06	-3517.96	1.28872	1.59512	1.16041	6.66006e+06
-0.45565	-0.404611	1.29555	28.6187	-6.18501	-63.6784	6.66006e+06
-3576.84	12399.4	21092.7	0.635483	-0.971967	1.49842	6.66006e+06
-0.788626	-2.39679	-1.59584	4.1434	-60.413	-4.83276	6.66006e+06
84.6897	95.9278	-105.431	7.15992	4.27219	-2.78771	6.66006e+06
206.225	358.352	-59.3371	1.95338	-6.45665	3.27479	6.66006e+06
439.429	-1409.17	-106.076	-3.18189	2.61132	14.0417	6.66006e+06
24878.5	7027.93	-5898.13	1.44462	-2.05585	-1.9573	6.66006e+06
-62.7394	-4.53283	-98.7537	12.3796	0.374293	36.1746	6.66006e+06
-145.133	-170.306	-71.4613	15.9517	15.2506	-21.8273	6.66006e+06
4772.37	4065.53	-770.367	0.764943	-5.59182	-0.77978	6.66006e+06
784.29	761.74	-424.048	8.91848	3.65424	-9.57701	6.66006e+06
-83.2056	-48.8124	1.5238	24.7307	6.69507	10.8882	6.66006e+06
-24.0352	11.5221	19.2534	10.4394	2.9882	47.6623	6.66006e+06
-13.6267	-1606.42	519.354	5.4542	-7.1662	0.963552	6.66006e+06
246.477	988.302	-160.028	-3.96757	-2.08445	-9.91419	6.66006e+06
789.523	-929.023	-910.655	-10.0295	-1.70726	8.71035	6.66006e+06
6.91293	16.8032	-6.59563	-1.01254	-4.77249	15.728	6.66006e+06
26.5237	39.0278	55.6786	-34.6712	2.83533	-26.4214	6.66006e+06
91.9814	-73.8768	-36.0852	12.394	6.85092	-2.06066	6.66006e+06
-264001	771191	1.77392e+06	-0.279187	-0.0277688	0.272261	6.66006e+06
204.351	3411.25	9070.75	-2.28067	1.21776	-0.182528	6.66006e+06
-1678.16	-3253.95	-1946.04	-6.23335	-0.986027	3.32076	6.66006e+06
-3.17778	-24.3058	37.4073	18.3976	-5.52678	30.828	6.66006e+06
-4.32909	0.259771	8.37642	66.919	29.6579	23.2198	6.66006e+06
-596.607	-1156.59	1295.29	-1.56317	-6.06405	9.21579	6.66006e+06
-55.02	-7.41094	-109.539	2.56161	19.634	16.3296	6.66006e+06
-22.8607	-29.0193	-27.9388	-38.2087	-21.6399	26.436	6.66006e+06
-151.116	110.084	190.242	-9.0342	26.8395	-2.22058	6.66006e+06
-118.738	41.698	21.497	-25.3118	20.8188	7.73023	6.66006e+06
-1422.01	313.038	-1869.31	5.94669	-1.36921	11.9684	6.66006e+06
-0.00729559	6.03547	8.45038	-71.2077	-22.0826	50.414	6.66006e+06
3.15822	55.2509	-24.0056	-17.8537	4.2016	-1.90463	6.66006e+06
-48734.7	22131.1	-11291.3	-0.573526	-1.48391	0.607815	6.66006e+06
-1.88248	2.02836	-0.442832	28.2727	2.46941	-77.9672	6.66006e+06
2.55681	-16.4739	-2.20907	41.4094	-41.5193	30.0955	6.66006e+06
-4.37142	2.40377	-0.946544	-87.7826	-51.4789	-38.6509	6.66006e+06
14.5689	-47.0257	-6.86471	-3.30698	-24.1959	11.2432	6.66006e+06
-173.436	213.28	1.07368	-16.9789	-14.9356	-14.4337	6.66006e+06
11.4988	11.2656	-17.0607	-2.39416	11.3646	-61.8004	6.66006e+06
-327.059	759.993	-701.928	8.39725	0.461057	8.63276	6.66006e+06
-5.84146	-5.55288	-0.356653	-36.5627	68.6319	57.8027	6.66006e+06
14.8159	3.78666	-2.06748	63.9473	1.00521	-5.7181	6.66006e+06
-2.7183	-15.5528	4.44061	-82.429	-20.2934	-6.06789	6.66006e+06
173.325	6018.72	-2081.24	-2.71104	-5.53052	0.390396	6.66006e+06
-492974	543056	2.722e+06	-0.0420756	-0.232784	-0.0338153	6.66006e+06
39.0444	47.8258	-169.912	1.19708	-13.118	-5.1275	6.66006e+06
-2487.13	2124.26	2585.66	-0.469177	-1.82713	-4.99576	6.66006e+06
-8.09069	0.755832	-29.0964	34.6457	-3.1767	35.7045	6.66006e+06
4144.47	-210.745	-2228.62	4.35814	-0.431064	2.9999	6.66006e+06
-474148	-483401	158862	-0.610133	0.344374	-0.0970672	6.66006e+06
-16.7212	-2.87308	2.23603	21.0103	-13.8034	-3.30796	6.66006e+06
-15.8494	7.28061	-4.37044	48.2057	44.3396	-11.6101	6.66006e+06
-407933	1647.62	-32827.4	0.275323	-0.604703	0.0984332	6.66006e+06
-125.018	88.8747	148.859	-4.00699	-18.3321	14.8868	6.66006e+06
-351567	4.51598e+06	1.02725e+07	0.0793092	-0.0432699	-0.0564416	6.66006e+06
63.1382	380.999	-3750.9	1.63958	8.45373	-0.379984	6.66006e+06
3.98686	-10.0201	-10.7731	-46.5613	40.7068	-61.0636	6.66006e+06
15.3618	76.8873	-89.4383	-2.14947	1.99131	15.2914	6.66006e+06
221.825	-435.95	101.341	7.71423	13.0652	0.592607	6.66006e+06
320177	591725	-652223	0.309799	-0.373613	-0.313594	6.66006e+06
1899.99	-584.143	1457.13	5.06439	-0.7916	4.3027	6.66006e+06
232.675	-352.114	156.873	6.8593	-6.21006	8.11781	6.66006e+06
6721.47	4645.29	29667.6	0.274177	-1.60547	2.72688	6.66006e+06
-71.9535	-120.981	199.441	-4.88079	14.8543	-10.1274	6.66006e+06
-4.64523	-0.946686	-0.74479	-57.151	-18.4815	4.34623	6.66006e+06
-8.45461	-17.7342	9.85487	10.4531	2.81191	6.69803	6.66006e+06
-9384.2	8054.31	865.285	-2.21452	0.0682134	0.000938538	6.66006e+06
-125.897	173.443	-119.897	11.0309	-14.3715	12.3645	6.66006e+06
54.5745	73.1736	-19.6324	-13.4604	0.051031	-15.6099	6.66006e+06
-6.66855	13.7267	-5.90999	56.2039	-36.9572	31.8786	6.66006e+06
9.10528	-3.93464	1.55991	-24.2835	5.21156	-6.35975	6.66006e+06
2.23954	-1.49576	-2.30372	10.5762	-18.9611	30.8964	6.66006e+06
-9.16918	0.805283	-3.59007	-21.7506	3.07746	25.5626	6.66006e+06
-8.9684	108.225	54.2306	-22.8105	2.48049	-28.1547	6.66006e+06
702.328	550.7	-462.069	10.1714	-5.68639	-5.64068	6.66006e+06
10.0246	3.50959	-3.89762	2.43181	-6.64089	-13.2323	6.66006e+06
62.0581	-434.86	-329.507	-7.25104	0.622976	2.1175	6.66006e+06
13106.1	-829.295	190.672	3.85347	-2.40455	-0.522277	6.66006e+06
8.90628	9.38849	53.0281	36.7732	-18.8735	1.57465	6.66006e+06
0.455531	-9.60055	-10.5053	-8.79013	-64.2894	8.97672	6.66006e+06
521.966	-1131.41	-1361.49	-6.56941	-0.233163	-7.26367	6.66006e+06
-1.84396	1.92602	2.55175	-54.4355	-61.1668	-5.64771	6.66006e+06
-67.9744	6.85234	-7.09293	9.03614	-13.3253	-12.3358	6.66006e+06
-0.686185	-2.71649	-3.16059	-7.27323	-66.3062	34.3127	6.66006e+06
-12.2265	1.82184	-5.80559	-9.66145	28.9452	-33.8597	6.66006e+06
-6.67774	12.9212	12.6848	-15.0767	-17.0397	-39.7545	6.66006e+06
-2266.61	-5212.11	-1423.54	-2.73631	1.18178	0.856368	6.66006e+06
7.41656	-2.33186	-2.696	-40.7247	-15.6819	46.2866	6.66006e+06
146535	4695.35	11922.8	0.63351	-1.02651	-0.128635	6.66006e+06
58.4909	-19.0333	-29.5197	-20.1187	-13.2616	-17.1383	6.66006e+06
1852.73	-792.844	-2875.24	1.13168	2.61221	8.43019	6.66006e+06
6452.56	7756.24	21575.6	-0.899707	3.38787	-1.0744	6.66006e+06
-213045	-123948	-197014	0.949698	0.386756	-0.286226	6.66006e+06
5.99075	-15.9458	-9.15582	-9.24083	4.26683	12.8718	6.66006e+06
828.021	-624.711	130.737	-5.3929	-2.65651	-0.473068	6.66006e+06
-18.1669	-62.5149	4.21317	2.15732	10.7705	-16.8431	6.66006e+06
3.08963	-9.05503	3.26282	70.043	-7.01978	29.8906	6.66006e+06
-215.375	-29.204	-18.3264	-24.653	-5.6149	-9.32214	6.66006e+06
16.5999	12.8893	39.5334	-25.9141	13.0822	-32.373	6.66006e+06
-115.15	28.1699	-1.24852	-11.1787	10.3692	-3.20928	6.66006e+06
-1.66872	1.63671	-2.39308	17.6355	-56.6039	67.5056	6.66006e+06
3.0091	9.98654	18.8444	12.9553	17.1457	28.581	6.66006e+06
2127.43	-198.486	-169.897	-9.90327	-3.25099	-5.53791	6.66006e+06
-2.07597e+11	-1.03493e+12	-5.18849e+11	-0.000206319	-4.49952e-05	0.000134149	6.66006e+06
204.648	-1.49317	92.6595	12.9918	-16.6026	-1.68086	6.66006e+06
61623.4	-18135.1	216962	0.350453	-0.489434	-0.871596	6.66006e+06
-20.0589	-32.5594	6.42547	18.0942	-18.99	32.691	6.66006e+06
1.4845e+07	2.05662e+07	-4.3631e+06	-0.00169081	-0.137109	0.0319946	6.66006e+06
-4.48714	24.0122	-16.5882	43.2965	-0.113763	6.29338	6.66006e+06
-44.5316	-93.0422	-18.7609	-27.8059	28.3559	-4.61549	6.66006e+06
1.01074e+06	2.90523e+06	-5.60623e+06	0.0121614	-0.0741349	-0.011187	6.66006e+06
-49.755	35.2203	-86.3876	0.232556	-53.5786	9.13687	6.66006e+06
0.704333	-1.21427	-9.09335	26.2024	-31.4084	28.8647	6.66006e+06
102.47	-13.743	-5.96021	-6.71666	-8.12253	6.37521	6.66006e+06
-26300.1	-19591.6	-5986.52	-1.48964	-1.39732	-0.948004	6.66006e+06
545.042	1489.03	272.677	-4.07249	-8.30537	-8.24951	6.66006e+06
0.832948	1.54592	0.0951432	5.22825	4.21555	11.8472	6.66006e+06
3.30491	-14.4832	1.03334	17.3719	-52.1823	37.2378	6.66006e+06
-8.8749	4.93421	-49.7999	-23.3318	-29.2116	-27.6969	6.66006e+06
-38508.6	-17336.4	-6031.3	1.51955	0.676375	0.0373666	6.66006e+06
4.73755	10.2725	8.01575	32.9071	-15.5586	46.2028	6.66006e+06
7.33792	3.96385	-10.0005	-28.8937	-37.4139	-15.0733	6.66006e+06
-3.94987	6.73512	-7.70254	17.342	-25.3476	35.2091	6.66006e+06
6.1555	2.71097	13.7923	18.2152	2.8601	-32.3393	6.66006e+06
-40.3521	74.4458	6.98956	-9.61818	-9.28325	1.22298	6.66006e+06
-36.1374	109.961	62.7613	-0.766129	-1.70429	-12.8499	6.66006e+06
178152	-18849.6	-178639	-0.391546	-0.790658	-0.187432	6.66006e+06
-2331.39	5929.44	1261.82	0.599904	4.95615	-2.47533	6.66006e+06
